comps,reqs_per_comp,comps_per_req,overlap,time,num_workflows
5,1,1,0,0.9639842510223389,5
5,1,2,0,0.6155002117156982,10
5,1,3,0,0.8660027980804443,15
5,1,4,0,1.1587214469909668,20
5,1,5,0,1.4171788692474365,25
5,2,1,0,0.5140469074249268,5
5,2,2,0,1.7004952430725098,20
5,2,3,0,3.8133299350738525,45
5,2,4,0,7.0720744132995605,80
5,2,5,0,11.473809480667114,125
5,3,1,0,0.727656364440918,5
5,3,2,0,4.962196588516235,40
5,3,3,0,16.662129640579224,135
5,3,4,0,38.851966857910156,320
5,3,5,0,75.42279863357544,625
5,4,1,0,0.9133038520812988,5
5,4,2,0,12.635926723480225,80
5,4,3,0,59.89680075645447,405
5,4,4,0,190.20844721794128,1280
5,4,5,0,473.23782300949097,3125
5,5,1,0,1.1244874000549316,5
5,5,2,0,29.452770233154297,160
5,5,3,0,223.66586089134216,1215
5,5,4,0,855.11567902565,5120
5,5,5,0,2569.407300233841,15625
10,1,1,0,0.6485223770141602,10
10,1,2,0,1.1579079627990723,20
10,1,3,0,1.7312755584716797,30
10,1,4,0,2.3233118057250977,40
10,1,5,0,2.8681600093841553,50
10,2,1,0,1.0040342807769775,10
10,2,2,0,3.5016984939575195,40
10,2,3,0,7.690637826919556,90
10,2,4,0,13.465154647827148,160
10,2,5,0,21.23472309112549,250
10,3,1,0,1.3412065505981445,10
10,3,2,0,9.037796258926392,80
10,3,3,0,30.01290535926819,270
10,3,4,0,72.55521750450134,640
10,3,5,0,147.5507197380066,1250
10,4,1,0,1.728743314743042,10
10,4,2,0,23.272608280181885,160
10,4,3,0,112.87658619880676,810
10,4,4,0,366.9127674102783,2560
10,4,5,0,878.5000894069672,6250
10,5,1,0,1.9870853424072266,10
10,5,2,0,51.92284917831421,320
10,5,3,0,393.7239851951599,2430
10,5,4,0,1681.398665189743,10240
10,5,5,0,5189.680801868439,31250
